STATE,0,1,2,3,4,5
Andaman and Nicobar Islands,0,0,0,0,0,0
Arunachal Pradesh,0,39.13043478,100,95.65217391,65.2173913,59.4071269
Andhra Pradesh,63.15789474,0,60.52631579,59.21052632,100,11.3171123
Assam,0,52.38095238,47.61904762,100,85.71428571,45.52225173
Bihar,0,29.33333333,37.33333333,76,100,63.9201045
Chandigarh,100,42.59259259,0,24.07407407,38.88888889,26.30799711
Chhattisgarh,42.85714286,0,100,100,42.85714286,35.34885049
Daman and Diu,58,0,0,0,100,13.87386024
Delhi,0,58.82352941,17.64705882,70.58823529,100,81.4352572
Dadra and Nagar Haveli,50,0,100,48,83,24.6936366
Goa,59.52380952,0,9.523809524,100,0,48.61174524
Gujarat,0,22.64150943,69.81132075,83.01886792,100,66.0623312
Himachal Pradesh,24.3902439,100,73.17073171,0,56.09756098,34.73795056
Haryana,0,46.15384615,61.53846154,100,88.46153846,48.82707894
Jharkhand,3.921568627,0,33.33333333,100,31.37254902,49.30414855
Jammu and Kashmir,22.05882353,0,45.58823529,38.23529412,100,43.84030104
Karnataka,100,46.15384615,53.84615385,15.38461538,0,18.59281659
Kerala,15.55555556,0,11.11111111,26.66666667,100,78.44257355
Maharashtra,0,6.060606061,57.57575758,69.6969697,100,84.70562696
Meghalaya,0,51,100,51,0,11.38589531
Manipur,52.38095238,100,0,42.85714286,100,42.26849079
Madhya Pradesh,0,0,10,47.5,100,83.51948857
Mizoram,77.90697674,0,0,56.97674419,100,27.71788538
Nagaland,0,30,45,45,100,64.66014385
Odisha,0,20.83333333,68.75,100,64.58333333,48.8494873
Punjab,4,2,0,84,100,82.8458786
Puducherry,100,3.125,46.875,0,31.25,42.09387898
Rajasthan,0,38.88888889,62.96296296,46.2962963,100,60.92876196
Sikkim,48,100,0,95,80,28.24403048
Telangana,0,65.78947368,100,60.52631579,57.89473684,47.88392186
Tamil Nadu,0,3.333333333,48.33333333,45,100,86.20327115
Tripura,100,100,97.77777778,100,0,35.27033329
Uttar Pradesh,0,13.88888889,52.77777778,77.77777778,100,79.58456874
Uttarakhand,0,8.695652174,82.60869565,100,43.47826087,46.63055539
West Bengal,12,0,40,32,100,86.81465983
